"date","champaign","salem","ithaca"
2021-05-18,64.76,64.9775,59.03
2021-05-19,67.61,66.9725,63.395
2021-05-20,72.7625,71.2175,68.6525
2021-05-21,71.855,71.51,71.1725
2021-05-22,72.455,71.135,67.4975
2021-05-23,75.2675,70.5575,65.1425
2021-05-24,75.98,69.6875,57.6575
2021-05-25,74.9825,70.4075,65.45
2021-05-26,72.485,71.3525,69.5975
2021-05-27,66.41,66.965,55.925
2021-05-28,54.4625,57.7925,45.4475
2021-05-29,52.745,50.105,44.5325
2021-05-30,56.7275,54.6425,46.8875
2021-05-31,61.5275,59.255,54.6725
2021-06-01,64.6325,58.8125,57.9725
2021-06-02,66.0425,60.5675,58.2125
2021-06-03,70.46,65.66,64.475
2021-06-04,73.1825,67.235,68.0225
2021-06-05,74.72,69.4925,72.5
2021-06-06,73.1525,71.12,71.3675
2021-06-07,74.4275,72.785,73.7
2021-06-08,73.7825,70.2125,72.275
2021-06-09,74.7275,73.22,72.26
2021-06-10,77.3,75.4175,67.115
2021-06-11,79.7375,77.7725,64.37
2021-06-12,79.8275,77.51,65.9825
2021-06-13,76.7075,73.325,69.05
2021-06-14,74.285,72.8,66.5225
2021-06-15,71.195,73.055,56.99
2021-06-16,69.455,72.7475,55.1975
2021-06-17,73.6925,77.8475,56.1125
2021-06-18,80.2775,81.8375,64.0475
2021-06-19,74.0375,78.02,70.925
2021-06-20,77.4575,78.3875,68.81
2021-06-21,68.3825,66.665,73.955
2021-06-22,61.805,62.7425,55.415
2021-06-23,68.69,68.3525,54.5075
2021-06-24,68.7725,75.29,62.0825
2021-06-25,74.9375,80.3975,66.3725
2021-06-26,76.325,75.9125,72.7925
2021-06-27,75.83,74.87,78.26
2021-06-28,76.925,75.65,77.285
2021-06-29,78.0125,74.4725,76.3325
2021-06-30,74.1125,73.4525,73.955
2021-07-01,72.9275,72.5975,67.4
2021-07-02,64.7825,69.9875,64.3325
2021-07-03,66.5525,68.2325,62.3
2021-07-04,72.95,69.4175,NA
2021-07-05,74.915,71.12,68.2175
2021-07-06,75.8825,73.3325,NA
2021-07-07,76.535,74.39,NA
2021-07-08,72.005,74.42,69.7475
2021-07-09,66.1625,75.23,69.785
2021-07-10,68.42,73.055,64.8125
2021-07-11,71.2475,69.095,61.64
2021-07-12,71.6075,68.93,68.495
2021-07-13,71.66,71.1575,75.0875
2021-07-14,73.3175,73.7075,69.7925
2021-07-15,73.6625,76.13,72.89
